Date of report,Record Name,Address,Town,Postal Code,History/Additional information,Basketball,Bowls,Cricket,Events in Parks,Football,Football,Football,Gaelic football,Gardens,Walks,Multi Sport Courts,Nature reserve,Netball,Parking,Planned Events,Play areas,Play areas,Play areas,Refreshments,Rugby,Tennis,Water feature,Wildlife,Other facilities
01/07/2015,Arrandene open space,Wise Lane,Mill Hill,NW7,,,,,,,,,,,,,,,,,,,,,,,,Wildlife Interest,
01/07/2015,Barfield Avenue playground,Barfield Avenue,Whetstone,N20,,,,,,,,,,,,,,,,,Play Area Toddler (2- 6 years),Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,,,,
01/07/2015,Barnet Gate Wood,Hendon Wood Lane,Barnet Gate,NW7,,,,,,,,,,,,,"Nature reserve: This wood is a remnant of ancient woodland peaceful haven to visit and interesting to compare with managed woods elsewhere. The site can be accessed from Hendon Wood Lane, the Dollis Valley Green Walk or the London LOOP from Moat Mount.",,,,,,,,,,,Wildlife Interest,
01/07/2015,Barnet Hill open space,Barnet Hill (A1000),High Barnet,EN5,,,,,Suitable for Small Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Barnet playing field,Barnet Lane,Underhill,EN5,,Basketball Hoop,,,"Suitable for Small, Medium, Large Events and Fun Fairs",Football Snr (11-a-side),,Football 7-a-side,,,Marked and Measured Route 5km,Multi Sports Court,,,Car park,,Play Area Toddler (2- 6 years),Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,,,Wildlife Interest,Outdoor Gym
01/07/2015,Basing Hill Park,Wayside,Childs Hill,NW2,,,,,"Suitable for Small, Medium Events and Fun Fairs",Football Snr (11-a-side),,,,,,,,,,,,Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,Tennis - Free of Charge,,,
01/07/2015,Belmont open space,Belmont Avenue,East Barnet,EN4,,,,,Suitable for Small Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Bethune Nature reserve,Beaconsfield Road,Friern Barnet,"N11, N20",,,,,,,,,,,,,Nature Reserve,,,,,,,,,,,Wildlife Interest,
01/07/2015,Bethune Rec Ground,Beaconsfield Road,Friern Barnet,"N11, N20",,Basketball Court,,,"Suitable for Small, Medium Events and Fun Fairs",Football Snr (11-a-side),Football Jnr,,,,Marked and Measured Route 1km,Multi Sports Court,,,,,,,,,,Tennis - Free of Charge,,,
01/07/2015,Bigwood,Oakwood Road,Hampstead Garden Suburb,NW11,,,,,Suitable for Small and Medium Events,,,,,,,,Nature Reserve: Big Wood and Little Wood are remnants of more extensive woods that used to cover the area thousands of years ago. The new gate at the Temple Fortune Hill entrance was donated by residents to commemorate the 29 suburb residents who died in the Second World War. It replaces an earlier gate and actually stands on an ancient 8th century boundary.,,,,,,,,,,,Wildlife Interest,
01/07/2015,Bittacy Hill Park,Sanders Lane,Mill Hill East,NW7,,,,,Suitable for Small and Medium Events,,,,,Gardens,,Multi Sports Court,,,,,Play Area Toddler (2- 6 years),Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,Tennis - Free of Charge,,,
01/07/2015,Bounds Green/Fairview open space,Atlas Road,New Southgate,N11,,,,,Suitable for Small Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Boysland open space,Tayside Drive,Edgware,HA8,,,,,Suitable for Small and Medium Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Brent Park,Bell Lane,Hendon,NW4,,,,,Suitable for Small and Medium Events,,,,,,,,,,,,,,,,,,Water Feature: Lake,Wildlife Interest,
01/07/2015,Brook Farm/Wyatts Farm,High Road,Whetstone,N20,,,,,"Suitable for Small, Medium and Large Events",Football Snr (11-a-side),,Football 7-a-side,,,,,,,,,,,,,,,Water feature,Wildlife Interest,
01/07/2015,Brookside Walk,North Circular Road (A406),Hendon,NW11,,,,,Suitable for Small and Medium Events,,,,,,,,,,,,Play Area Toddler (2- 6 years),Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,,,Wildlife Interest,
01/07/2015,Brunswick Cresent playground,Brunswick Crescent,New Southgate,N11,,,,,Suitable for Small Events,,,,,,,,,,,,,Play Area Junior (5-10 years),Play Area Senior (7 -14 years),,,,,,
01/07/2015,Brunswick Park/Waterfall Walk,Brunswick Park Road,New Southgate,N11,,,,,Suitable for Small and Medium Events,Football Snr (11-a-side),Football Jnr,Football 7-a-side,,,,,,,,,,,,,,,,Wildlife Interest,
01/07/2015,Brunswick Woods,Brunswick Park Road,New Southgate,N11,,,,,,,,,,,,,,,,,,,,,,,,Wildlife Interest,
01/07/2015,Central Square,Central Square,Hampstead Garden Suburb,NW11,,,,,Suitable for Small and Medium Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Charter Green,Charter Way,Finchley Church end,N3,,,,,Suitable for Small Events,,,,,,,,,,,,,,,,,,,,
01/07/2015,Cherry Tree Hill,Cherry Tree Hill Opp The Bishops Ave,East Finchley,NW11,,,,,,,,,,,,,,,,,,,,,,,,,
